id,school_id,year_group,favourite_subject,least_favourite_subject,ability_maths,ability_english,ability_science,class_id,male,class_male_pr
100461,1,1,"ICT, Technology",English,3,3,4,1,1,1
100454,1,1,ICT,RS,3,2,3,1,1,1
100412,1,1,Science,English,4,3,4,1,1,1
100458,1,1,ICT,Music,4,3,3,1,1,1
100517,1,1,"Music, Drama",Science,3,4,3,1,1,1
100489,1,1,Art,RS,4,3,4,1,1,1
100944,1,1,History,English,3,2,3,1,1,1
100435,1,1,PE,English,3,2,4,1,1,1
100495,1,1,PE,History,3,4,3,1,1,1
100510,1,1,PSCHE,Maths,2,2,3,1,1,1
100460,1,1,Technology,English,3,2,3,1,1,1
100444,1,1,ICT,History,4,3,4,1,1,1
100441,1,1,PE,English,4,2,4,1,1,1
100482,1,1,History,English,3,2,3,1,1,1
100417,1,1,History,English,3,3,3,1,1,1
100955,1,1,PE,Classical Studies,3,2,3,1,1,1
100525,1,1,PE,RS,4,3,3,1,1,1
100481,1,1,"Technology, Maths, PE, Science","Art, English",3,2,3,1,1,1
100471,1,1,"Maths, PE",PSCHE,4,2,4,1,1,1
100964,1,1,PE,RS,4,3,3,1,1,1
100408,1,1,Science,Geography,3,2,4,1,1,1
100536,1,1,Technology,Geography,4,4,3,1,1,1
100377,1,1,PE,English,3,2,3,1,1,1
100405,1,1,Technology,RS,4,4,3,1,1,1
100394,1,1,ICT,RS,4,2,3,1,1,1
117811,1,1,ICT,RS,3,2,3,1,1,1
100448,1,1,ICT,Science,3,3,2,1,1,1
100531,1,1,PE,Classical Studies,4,3,3,1,1,1
100488,1,1,Science,PSCHE,4,3,4,1,1,1
100542,1,1,Technology,Spanish,3,3,4,1,1,1
100524,1,1,Spanish,PE,4,3,2,1,1,1
100516,1,1,Maths,English,4,3,3,1,1,1
100493,1,1,Spanish,Art,4,3,4,1,1,1
100419,1,1,ICT,English,4,3,4,1,1,1
100398,1,1,PE,RS,3,2,4,2,1,1
100522,1,1,PE,Classical Studies,3,3,3,2,1,1
100406,1,1,History,PE,3,4,3,2,1,1
100385,1,1,PE,Classical Studies,3,3,4,2,1,1
100468,1,1,Technology,Classical Studies,2,3,3,2,1,1
100366,1,1,Food Technology,RS,3,4,3,2,1,1
100505,1,1,English,French,4,3,3,2,1,1
100372,1,1,Technology,French,4,4,3,2,1,1
100365,1,1,Art,PSCHE,3,3,3,2,1,1
100376,1,1,Technology,English,3,2,3,2,1,1
100390,1,1,PE,Technology,4,4,4,2,1,1
100380,1,1,Food Technology,Classical Studies,4,3,3,2,1,1
100374,1,1,ICT,Geography,4,4,3,2,1,1
100443,1,1,Technology,Art,4,3,3,2,1,1
100491,1,1,Biology,Art,3,4,4,2,1,1
100400,1,1,PE,French,2,3,3,2,1,1
100472,1,1,PE,Art,3,4,3,2,1,1
